Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Louisiana,275,168,120,80
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Louisiana,"2,079",437,746,232
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Louisiana,"3,112",558,"1,371",303
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Louisiana,334,141,191,92
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Louisiana,67,87,9,14
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Louisiana,506,155,198,78
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Louisiana,"2,002",401,"1,025",284
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Louisiana,"26,185","1,256","14,586","1,032"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Louisiana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Louisiana,15,28,15,28
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Louisiana,525,240,230,161
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Louisiana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Louisiana,"1,200",375,145,151
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Louisiana,180,125,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Louisiana,215,102,70,56
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Louisiana,315,137,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Louisiana,295,234,275,241
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,Louisiana,80,125,80,125
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Louisiana,"4,580",650,"1,373",304
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Louisiana,465,218,220,181
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Louisiana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Louisiana,85,70,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Louisiana,65,65,15,24
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Louisiana,75,68,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Louisiana,55,46,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Louisiana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Louisiana,145,101,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Louisiana,40,31,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Louisiana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Yapese,Louisiana,80,96,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Louisiana,190,150,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Louisiana,55,58,(D),(D)
ALL OTHER LANGUAGES,.Navajo,.Navajo,Louisiana,45,53,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Passamaquoddy,Louisiana,35,40,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Kuchin,Louisiana,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Omaha,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Alabama,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Louisiana,200,221,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Koasati,Louisiana,125,73,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Chetemacha,Louisiana,65,43,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Iroquois,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Louisiana,45,47,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Yaqui,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Louisiana,110,66,45,39
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Louisiana,303,190,53,38
ALL OTHER LANGUAGES,.Arabic,.Arabic,Louisiana,"6,739","1,197","1,860",451
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Louisiana,364,168,69,70
ALL OTHER LANGUAGES,.African languages,..Amharic,Louisiana,345,185,165,109
ALL OTHER LANGUAGES,.African languages,..Berber,Louisiana,35,44,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Chadic,Louisiana,160,163,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Cushite,Louisiana,200,192,105,92
ALL OTHER LANGUAGES,.African languages,..Nilotic,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.African languages,..Swahili,Louisiana,365,167,90,83
ALL OTHER LANGUAGES,.African languages,..Bantu,Louisiana,265,124,140,101
ALL OTHER LANGUAGES,.African languages,..Mande,Louisiana,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.African languages,..Fulani,Louisiana,60,79,40,55
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Louisiana,"1,195",419,65,55
ALL OTHER LANGUAGES,.African languages,..African,Louisiana,60,48,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Louisiana,55,34,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Louisiana,30,34,(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Louisiana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Louisiana,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Arawakian,Louisiana,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Louisiana,250,121,(D),(D)
Total,Total,Total Speakers,Maine,"1,261,144",269,"21,071","1,070"
