Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Michigan,405,166,115,142
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Michigan,15,12,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Michigan,"1,600",349,337,135
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Michigan,"19,934","1,002","5,836",513
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Michigan,"4,030",522,990,258
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Michigan,"39,505","1,674","6,780",523
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Michigan,579,128,59,39
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Michigan,"3,370",545,"1,415",282
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Michigan,"5,710",560,"1,035",210
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Michigan,250,119,20,20
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Frisian,Michigan,45,38,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Michigan,"1,205",259,95,48
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Michigan,370,99,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Michigan,465,119,85,50
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Michigan,50,49,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Michigan,"7,887",776,"2,043",368
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Michigan,"11,819",935,"5,165",533
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Michigan,"23,042","1,302","6,918",603
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Michigan,"8,930","1,216","4,470",643
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Michigan,"1,225",265,405,125
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Michigan,"2,855",447,820,236
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Michigan,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Michigan,"4,535",608,"2,280",419
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Michigan,"1,025",205,250,96
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Michigan,"1,210",382,140,72
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Michigan,945,307,330,116
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Michigan,"5,610",824,"1,875",389
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Michigan,95,57,35,31
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Michigan,"2,284",422,553,164
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Michigan,"2,644",446,813,225
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Michigan,"16,340","1,393","3,378",501
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Michigan,"9,355","1,002","2,905",444
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Michigan,"11,294",990,"3,400",525
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Michigan,"1,400",350,725,231
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Michigan,"13,795","1,287","7,110",892
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Michigan,"4,730",790,"1,470",339
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Michigan,"2,540",529,495,189
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Rajasthani,Michigan,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Michigan,335,171,40,47
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Michigan,75,70,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Kashmiri,Michigan,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Michigan,"2,405",541,"1,625",458
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Michigan,125,93,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Michigan,190,153,20,28
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Michigan,530,231,205,126
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Michigan,175,121,40,38
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Michigan,150,74,20,23
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Michigan,55,46,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Michigan,90,91,45,51
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Michigan,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Michigan,"11,375","1,050","4,360",534
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Michigan,85,75,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Michigan,370,107,20,23
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Michigan,60,49,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Michigan,"20,060","1,906","8,895","1,001"
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Michigan,"1,530",297,360,103
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Michigan,"1,170",244,200,84
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Michigan,30,43,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Michigan,490,253,225,125
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Michigan,"29,960","1,458","14,875",967
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Michigan,"2,325",418,"1,070",296
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Michigan,"5,955",604,"2,350",436
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Michigan,940,225,435,141
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Michigan,45,33,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Michigan,"12,022",977,"6,080",807
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Michigan,"15,356","1,216","8,333",852
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Michigan,"1,511",380,736,215
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Michigan,"4,887",864,"1,634",363
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Michigan,"1,447",281,788,155
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Michigan,"2,137",433,"1,217",279
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Michigan,"15,130","1,396","9,449",998
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kirghiz,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Michigan,35,31,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Michigan,"1,265",310,430,214
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Michigan,90,91,55,50
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Gondi,Michigan,80,88,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Michigan,"8,695",916,"1,605",301
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Michigan,"2,425",523,255,119
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Michigan,"3,900",616,"1,000",285
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Michigan,"6,440",892,"1,100",317
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Munda,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Michigan,895,331,840,325
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Michigan,525,375,505,372
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Michigan,"16,903","1,093","4,300",506
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Michigan,570,204,215,137
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Balinese,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Michigan,440,151,75,61
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Michigan,485,275,200,165
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Michigan,165,88,75,62
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pangasinan,Michigan,55,63,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Michigan,190,113,90,81
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Michigan,25,26,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Michigan,70,69,30,35
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Michigan,125,62,25,24
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Kusaiean,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mortlockese,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Michigan,30,42,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,Michigan,25,32,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Michigan,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Michigan,200,103,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Michigan,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Michigan,115,88,(D),(D)
ALL OTHER LANGUAGES,.Navajo,.Navajo,Michigan,102,80,2,4
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Michigan,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Michigan,20,23,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Michigan,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Menomini,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Michigan,"1,910",282,205,73
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,Michigan,435,182,45,37
ALL OTHER LANGUAGES,.Other Native North American languages,..Passamaquoddy,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Potawatomi,Michigan,160,69,15,17
ALL OTHER LANGUAGES,.Other Native North American languages,..Okanogan,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Michigan,25,30,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Alabama,Michigan,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Michigan,170,88,35,34
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Oneida,Michigan,20,23,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Seneca,Michigan,70,96,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Michigan,175,76,15,16
ALL OTHER LANGUAGES,.Other Native North American languages,..Pima,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Michigan,370,165,55,25
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Michigan,"2,510",358,589,151
ALL OTHER LANGUAGES,.Arabic,.Arabic,Michigan,"111,944","3,223","46,889","1,930"
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Michigan,"2,629",414,454,160
ALL OTHER LANGUAGES,.African languages,..Amharic,Michigan,"1,125",330,505,186
ALL OTHER LANGUAGES,.African languages,..Berber,Michigan,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.African languages,..Chadic,Michigan,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.African languages,..Cushite,Michigan,"1,320",451,625,281
ALL OTHER LANGUAGES,.African languages,..Sudanic,Michigan,440,244,140,136
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Michigan,180,213,180,213
ALL OTHER LANGUAGES,.African languages,..Nubian,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.African languages,..Swahili,Michigan,"1,890",521,775,436
ALL OTHER LANGUAGES,.African languages,..Bantu,Michigan,"2,470",709,870,477
ALL OTHER LANGUAGES,.African languages,..Mande,Michigan,530,236,215,152
ALL OTHER LANGUAGES,.African languages,..Fulani,Michigan,745,274,205,128
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Michigan,"4,900",810,"1,180",354
ALL OTHER LANGUAGES,.African languages,..Efik,Michigan,95,70,25,32
ALL OTHER LANGUAGES,.African languages,..African,Michigan,90,73,70,68
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Michigan,"2,580",283,430,87
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Michigan,80,43,15,20
ALL OTHER LANGUAGES,.Other and unspecified languages,..Other Uralic languages,Michigan,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Michigan,120,100,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Michigan,"24,315","1,939","11,725","1,179"
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Michigan,165,104,120,71
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Michigan,60,45,(D),(D)
Total,Total,Total Speakers,Minnesota,"4,996,324",377,"212,464","3,610"
English,English,English,Minnesota,"4,460,951","5,182",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish,..Spanish,Minnesota,"192,115","2,629","84,220","2,264"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Minnesota,"14,765",937,"2,655",359
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Minnesota,105,64,15,16
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Minnesota,55,66,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Minnesota,"1,088",388,330,163
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Minnesota,"2,503",402,499,131
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Minnesota,"2,415",385,330,112
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Minnesota,"24,275",921,"4,165",353
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Minnesota,145,81,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Minnesota,795,214,380,149
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Minnesota,"1,315",212,170,54
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Minnesota,300,113,45,40
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,.Scandinavian languages,Minnesota,"7,965",403,877,118
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Swedish,Minnesota,"2,440",353,210,66
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Danish,Minnesota,770,181,135,55
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Norwegian,Minnesota,"4,665",340,530,100
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Icelandic,Minnesota,90,59,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Minnesota,"1,142",272,114,60
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Minnesota,"14,039","1,143","6,479",647
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Minnesota,"2,923",403,605,143
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Minnesota,"3,180",663,"1,395",339
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Minnesota,275,123,45,46
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Minnesota,490,183,135,84
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Minnesota,65,63,55,58
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Minnesota,"1,830",413,800,236
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Minnesota,"1,380",214,185,71
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Minnesota,290,122,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Minnesota,305,120,90,66
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Minnesota,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Minnesota,175,94,15,13
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Minnesota,32,24,21,26
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Minnesota,"1,653",367,550,223
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Minnesota,"6,998",918,"1,109",288
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Minnesota,"1,894",561,487,228
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Minnesota,"2,660",724,600,296
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Minnesota,555,304,225,205
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Minnesota,"1,850",430,305,156
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Minnesota,840,408,290,230
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Minnesota,785,220,70,62
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Minnesota,235,165,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Minnesota,65,68,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Minnesota,"1,675",447,930,355
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Minnesota,65,66,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Minnesota,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Minnesota,570,186,80,60
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Minnesota,100,52,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Minnesota,185,116,60,67
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Minnesota,80,60,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Minnesota,70,51,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Minnesota,"1,400",578,410,216
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Minnesota,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Minnesota,120,68,25,25
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Minnesota,20,17,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Minnesota,365,182,110,69
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Minnesota,100,60,25,35
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Minnesota,795,257,100,72
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Minnesota,115,100,75,63
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Minnesota,320,207,75,73
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Minnesota,"16,730","1,137","7,495",756
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Minnesota,"1,555",357,655,210
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Minnesota,"2,645",461,945,297
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Minnesota,260,117,90,74
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Minnesota,"3,743",496,"1,406",273
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Minnesota,"6,000",892,"2,737",437
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Minnesota,"5,732",983,"3,039",516
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Minnesota,"55,037","2,294","24,674","1,490"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Minnesota,"2,226",537,"1,271",450
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Minnesota,"9,900",913,"4,954",593
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Minnesota,"21,640","1,622","13,324","1,150"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Minnesota,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Minnesota,55,92,30,46
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Minnesota,30,34,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Minnesota,765,281,285,167
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Minnesota,40,46,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Minnesota,"4,930",876,850,330
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Minnesota,750,278,85,71
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Minnesota,"1,365",424,165,98
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Minnesota,"3,585",656,870,373
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Minnesota,"1,295",410,685,260
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Minnesota,"1,000",381,790,338
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Minnesota,"4,490",908,"4,045",847
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Minnesota,"5,633",561,"1,764",330
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Minnesota,360,148,180,112
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Minnesota,35,41,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Minnesota,115,79,50,61
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Minnesota,230,107,95,62
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Minnesota,235,104,85,59
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Minnesota,80,68,45,36
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bikol,Minnesota,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Minnesota,80,105,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Minnesota,45,64,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Minnesota,80,54,(D),(D)
