Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Washington,WA,220,132,55,53
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Washington,WA,355,312,195,195
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Carolinian,Washington,WA,65,73,25,31
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Washington,WA,3630,592,585,200
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Kusaiean,Washington,WA,230,237,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Washington,WA,2105,675,1025,376
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Washington,WA,605,281,195,139
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Washington,WA,80,54,45,44
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,Washington,WA,775,381,270,137
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Washington,WA,100,101,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Polynesian,Washington,WA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Washington,WA,8800,1019,2145,347
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Washington,WA,855,338,260,163
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tokelauan,Washington,WA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Washington,WA,255,136,50,52
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,Washington,WA,145,211,90,135
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Washington,WA,545,173,140,131
ALL OTHER LANGUAGES,Navajo,Navajo,Washington,WA,335,166,18,14
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Washington,WA,60,45,,
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,Washington,WA,55,41,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Washington,WA,45,48,,
ALL OTHER LANGUAGES,Other Native North American languages,Atsina,Washington,WA,25,39,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Washington,WA,50,50,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Washington,WA,75,55,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,Washington,WA,20,21,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Washington,WA,50,39,,
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Makah,Washington,WA,115,84,45,71
ALL OTHER LANGUAGES,Other Native North American languages,Kwakiutl,Washington,WA,170,102,,
ALL OTHER LANGUAGES,Other Native North American languages,Nootka,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Upper Chehalis,Washington,WA,4,8,,
ALL OTHER LANGUAGES,Other Native North American languages,Clallam,Washington,WA,145,94,,
ALL OTHER LANGUAGES,Other Native North American languages,Coeur d'Alene,Washington,WA,25,34,,
ALL OTHER LANGUAGES,Other Native North American languages,Columbia,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Salish,Washington,WA,670,173,55,31
ALL OTHER LANGUAGES,Other Native North American languages,Okanogan,Washington,WA,25,27,,
ALL OTHER LANGUAGES,Other Native North American languages,Puget Sound Salish,Washington,WA,135,59,,
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,Washington,WA,130,88,,
ALL OTHER LANGUAGES,Other Native North American languages,Twana,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Athapascan,Washington,WA,35,41,,
ALL OTHER LANGUAGES,Other Native North American languages,Hupa,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Washington,WA,60,63,,
ALL OTHER LANGUAGES,Other Native North American languages,Tlingit,Washington,WA,30,39,,
ALL OTHER LANGUAGES,Other Native North American languages,Nomlaki,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Santiam,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Nez Perce,Washington,WA,55,54,,
ALL OTHER LANGUAGES,Other Native North American languages,Sahaptian,Washington,WA,815,378,100,52
ALL OTHER LANGUAGES,Other Native North American languages,Upper Chinook,Washington,WA,20,27,,
ALL OTHER LANGUAGES,Other Native North American languages,Pomo,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Havasupai,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Yuchi,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Washington,WA,140,74,10,12
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Washington,WA,100,72,,
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Washington,WA,70,103,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Washington,WA,160,92,,
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ute,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tewa,Washington,WA,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Chinook Jargon,Washington,WA,15,11,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Washington,WA,250,104,15,17
ALL OTHER LANGUAGES,Other Native North American languages,Kalispel,Washington,WA,15,19,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Washington,WA,1410,318,423,122
ALL OTHER LANGUAGES,Arabic,Arabic,Washington,WA,12482,1364,5443,873
ALL OTHER LANGUAGES,Hebrew,Hebrew,Washington,WA,2336,534,236,106
ALL OTHER LANGUAGES,African languages,Amharic,Washington,WA,15960,1740,7590,929
ALL OTHER LANGUAGES,African languages,Berber,Washington,WA,60,87,,
ALL OTHER LANGUAGES,African languages,Chadic,Washington,WA,135,156,,
ALL OTHER LANGUAGES,African languages,Cushite,Washington,WA,13925,1471,6965,1037
ALL OTHER LANGUAGES,African languages,Sudanic,Washington,WA,210,134,80,80
ALL OTHER LANGUAGES,African languages,Nilotic,Washington,WA,100,150,,
ALL OTHER LANGUAGES,African languages,Nilo-Saharan,Washington,WA,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Washington,WA,3630,871,1145,422
ALL OTHER LANGUAGES,African languages,Bantu,Washington,WA,1930,645,545,325
ALL OTHER LANGUAGES,African languages,Mande,Washington,WA,1430,558,470,280
ALL OTHER LANGUAGES,African languages,Fulani,Washington,WA,960,495,265,163
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Washington,WA,2455,540,495,242
ALL OTHER LANGUAGES,African languages,Efik,Washington,WA,,,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Washington,WA,,,,
ALL OTHER LANGUAGES,African languages,African,Washington,WA,90,57,40,39
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Washington,WA,1145,232,210,108
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Washington,WA,280,129,60,71
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Washington,WA,140,130,80,102
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,Washington,WA,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Washington,WA,35,28,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Washington,WA,395,445,230,254
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Washington,WA,325,197,285,161
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,Washington,WA,75,116,75,116
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,Washington,WA,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Washington,WA,165,84,,
ENGLISH,English,English,West Virginia,WV,1707752,1652,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,West Virginia,WV,18310,1022,6785,675
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,West Virginia,WV,3105,407,825,203
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,West Virginia,WV,40,57,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,West Virginia,WV,8,11,2,3
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,West Virginia,WV,1380,235,274,127
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,West Virginia,WV,380,132,60,43
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,West Virginia,WV,2890,391,650,197
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,West Virginia,WV,165,157,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,West Virginia,WV,165,95,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,West Virginia,WV,30,31,25,30
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,West Virginia,WV,405,122,67,38
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,West Virginia,WV,760,304,163,121
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,West Virginia,WV,369,142,46,40
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,West Virginia,WV,165,233,80,124
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,West Virginia,WV,30,27,,
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,West Virginia,WV,105,80,25,25
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,West Virginia,WV,65,51,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,West Virginia,WV,85,88,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,West Virginia,WV,356,179,69,71
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,West Virginia,WV,366,133,49,46
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,West Virginia,WV,297,149,82,69
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,West Virginia,WV,421,188,78,73
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,West Virginia,WV,120,93,40,57
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,West Virginia,WV,410,222,65,61
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,West Virginia,WV,90,110,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,West Virginia,WV,90,77,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,West Virginia,WV,305,154,165,115
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,West Virginia,WV,20,16,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,West Virginia,WV,35,34,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,West Virginia,WV,35,30,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,West Virginia,WV,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,West Virginia,WV,20,29,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,West Virginia,WV,2110,412,1165,282
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,West Virginia,WV,60,50,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,West Virginia,WV,220,119,95,59
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,West Virginia,WV,80,130,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,West Virginia,WV,605,178,391,155
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,West Virginia,WV,906,268,368,169
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",West Virginia,WV,16,22,12,21
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,West Virginia,WV,469,183,156,89
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,West Virginia,WV,61,50,35,43
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,West Virginia,WV,870,329,527,245
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,West Virginia,WV,135,68,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,West Virginia,WV,455,205,65,47
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,West Virginia,WV,55,68,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,West Virginia,WV,130,94,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,West Virginia,WV,95,100,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,West Virginia,WV,55,50,20,20
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,West Virginia,WV,1087,266,314,139
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,West Virginia,WV,110,103,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,West Virginia,WV,35,37,20,23
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,West Virginia,WV,20,23,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,West Virginia,WV,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,West Virginia,WV,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,West Virginia,WV,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,West Virginia,WV,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,West Virginia,WV,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Navajo,Navajo,West Virginia,WV,11,15,3,4
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Alabama,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,West Virginia,WV,90,82,55,74
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,West Virginia,WV,40,35,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,West Virginia,WV,179,100,35,35
ALL OTHER LANGUAGES,Arabic,Arabic,West Virginia,WV,1867,456,629,243
ALL OTHER LANGUAGES,Hebrew,Hebrew,West Virginia,WV,158,123,17,25
ALL OTHER LANGUAGES,African languages,Amharic,West Virginia,WV,205,155,90,79
ALL OTHER LANGUAGES,African languages,Chadic,West Virginia,WV,30,28,,
ALL OTHER LANGUAGES,African languages,Swahili,West Virginia,WV,165,136,,
ALL OTHER LANGUAGES,African languages,Bantu,West Virginia,WV,40,39,,
ALL OTHER LANGUAGES,African languages,Mande,West Virginia,WV,,,,
ALL OTHER LANGUAGES,African languages,Fulani,West Virginia,WV,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",West Virginia,WV,345,194,,
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,West Virginia,WV,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,West Virginia,WV,185,108,55,88
ENGLISH,English,English,Wisconsin,WI,4893195,4475,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Wisconsin,WI,243560,3071,104735,2305
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Wisconsin,WI,12380,859,1995,259
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Wisconsin,WI,130,73,20,24
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Wisconsin,WI,254,118,3,5
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Wisconsin,WI,4940,501,1242,242
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Wisconsin,WI,1345,307,240,91
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Wisconsin,WI,36400,1200,6940,456
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Wisconsin,WI,45,27,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Wisconsin,WI,178,91,19,23
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Wisconsin,WI,7205,726,1970,205
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Wisconsin,WI,3040,332,695,158
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Wisconsin,WI,370,241,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Wisconsin,WI,15,15,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Wisconsin,WI,850,230,85,47
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Wisconsin,WI,450,161,45,32
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Wisconsin,WI,2035,268,255,71
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Wisconsin,WI,70,62,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Wisconsin,WI,2372,450,644,237
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Wisconsin,WI,5758,721,2509,370
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Wisconsin,WI,6894,603,1733,276
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Wisconsin,WI,1175,405,555,294
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Wisconsin,WI,785,222,165,76
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Wisconsin,WI,2955,558,1280,347
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Wisconsin,WI,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Wisconsin,WI,840,291,300,135
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Wisconsin,WI,775,170,195,82
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Wisconsin,WI,535,140,70,56
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Wisconsin,WI,640,211,225,112
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Wisconsin,WI,120,71,40,33
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Wisconsin,WI,320,118,120,65
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Wisconsin,WI,257,116,22,25
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Wisconsin,WI,870,215,286,106
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Wisconsin,WI,4831,622,907,261
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Wisconsin,WI,1521,469,621,232
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Wisconsin,WI,3188,641,938,267
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Wisconsin,WI,310,195,110,67
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Wisconsin,WI,710,205,155,77
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Wisconsin,WI,1730,470,685,253
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Wisconsin,WI,585,231,130,81
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Wisconsin,WI,30,40,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Wisconsin,WI,795,415,520,387
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Wisconsin,WI,160,178,70,107
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Wisconsin,WI,290,215,155,118
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Wisconsin,WI,195,164,70,72
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Wisconsin,WI,45,42,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Wisconsin,WI,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Wisconsin,WI,195,242,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Wisconsin,WI,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Wisconsin,WI,710,204,170,98
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Wisconsin,WI,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Wisconsin,WI,240,99,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Wisconsin,WI,2625,629,1460,441
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Wisconsin,WI,380,118,160,78
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Wisconsin,WI,555,135,80,37
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Wisconsin,WI,65,72,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Wisconsin,WI,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Wisconsin,WI,12130,974,6345,767
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Wisconsin,WI,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","Kan, Hsiang",Wisconsin,WI,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Wisconsin,WI,770,260,420,200
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Wisconsin,WI,1685,363,840,271
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Wisconsin,WI,220,103,115,76
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Wisconsin,WI,1937,351,626,166
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Wisconsin,WI,4467,603,2439,412
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Wisconsin,WI,822,359,375,251
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Wisconsin,WI,40985,1758,16174,1094
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Wisconsin,WI,859,219,438,152
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Wisconsin,WI,4733,1025,2194,478
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Wisconsin,WI,3688,664,1873,407
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Wisconsin,WI,940,286,330,147
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Wisconsin,WI,65,61,35,41
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Wisconsin,WI,45,46,35,44
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Wisconsin,WI,2615,502,460,228
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Wisconsin,WI,515,210,125,95
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Wisconsin,WI,810,324,130,90
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Wisconsin,WI,1910,457,295,154
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Wisconsin,WI,620,306,370,204
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Wisconsin,WI,660,301,520,276
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Wisconsin,WI,340,176,260,137
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Wisconsin,WI,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Wisconsin,WI,4866,596,1338,285
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Wisconsin,WI,135,77,75,47
