Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,North Dakota,ND,205,196,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,North Dakota,ND,451,186,151,102
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,North Dakota,ND,30,32,30,32
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,North Dakota,ND,75,104,55,88
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,North Dakota,ND,10,10,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,North Dakota,ND,35,40,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,North Dakota,ND,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,North Dakota,ND,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Navajo,Navajo,North Dakota,ND,101,94,14,23
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,North Dakota,ND,70,63,,
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,North Dakota,ND,25,35,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,North Dakota,ND,90,52,,
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Okanogan,North Dakota,ND,60,89,45,66
ALL OTHER LANGUAGES,Other Native North American languages,Ingalit,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Hidatsa,North Dakota,ND,390,92,20,22
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,North Dakota,ND,35,28,20,22
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,North Dakota,ND,685,135,25,14
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,North Dakota,ND,10,9,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Arikara,North Dakota,ND,145,66,40,27
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,North Dakota,ND,200,111,20,19
ALL OTHER LANGUAGES,Other Native North American languages,Spokane,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,North Dakota,ND,94,92,24,27
ALL OTHER LANGUAGES,Arabic,Arabic,North Dakota,ND,797,270,364,181
ALL OTHER LANGUAGES,Hebrew,Hebrew,North Dakota,ND,38,37,7,10
ALL OTHER LANGUAGES,African languages,Amharic,North Dakota,ND,60,52,20,28
ALL OTHER LANGUAGES,African languages,Chadic,North Dakota,ND,10,15,,
ALL OTHER LANGUAGES,African languages,Cushite,North Dakota,ND,835,331,685,316
ALL OTHER LANGUAGES,African languages,Sudanic,North Dakota,ND,40,43,25,30
ALL OTHER LANGUAGES,African languages,Swahili,North Dakota,ND,580,364,245,204
ALL OTHER LANGUAGES,African languages,Bantu,North Dakota,ND,600,272,410,205
ALL OTHER LANGUAGES,African languages,Mande,North Dakota,ND,110,129,45,55
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",North Dakota,ND,175,88,65,56
ALL OTHER LANGUAGES,African languages,African,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,North Dakota,ND,65,36,15,8
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,North Dakota,ND,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,North Dakota,ND,40,67,40,67
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,North Dakota,ND,65,46,,
ENGLISH,English,English,Ohio,OH,10124056,6986,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Ohio,OH,241650,3332,90725,2189
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Ohio,OH,28005,1229,6940,738
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Ohio,OH,345,190,60,46
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Ohio,OH,1800,483,495,273
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Ohio,OH,17966,1049,4803,510
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Ohio,OH,3425,628,955,341
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,Ohio,OH,35,46,,
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Ohio,OH,54195,2271,14195,1087
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Ohio,OH,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Ohio,OH,689,162,66,44
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Ohio,OH,28705,2001,10900,1197
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Ohio,OH,12160,1355,4255,799
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Ohio,OH,355,146,40,33
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Ohio,OH,725,223,70,52
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Ohio,OH,620,318,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Ohio,OH,275,128,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Ohio,OH,55,39,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Ohio,OH,10122,790,2368,316
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Ohio,OH,16917,1381,8416,808
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Ohio,OH,9504,758,2575,347
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Ohio,OH,2375,554,1080,292
